Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2025/01/01 18:45,B007,A0000208,B027,A0000323,115.26,CAD,115.26,CAD,Wire,0
2025/01/01 20:22,B022,A0000246,B016,A0000294,811.52,USD,811.52,USD,Wire,0
2025/01/02 16:08,B011,A0000067,B006,A0000223,57.71,USD,57.71,USD,Wire,0
2025/01/03 03:22,B002,A0000068,B029,A0000354,12.76,USD,12.76,USD,ACH,0
2025/01/03 03:43,B005,A0000051,B026,A0000303,1066.39,CHF,1066.39,CHF,ACH,0
2025/01/03 12:54,B009,A0000225,B000,A0000368,2993.69,EUR,2993.69,EUR,Reinvestment,0
2025/01/03 23:35,B013,A0000003,B019,A0000340,116.07,GBP,116.07,GBP,Wire,0
2025/01/04 00:17,B016,A0000228,B027,A0000201,21.53,USD,21.53,USD,Reinvestment,0
2025/01/05 05:13,B020,A0000190,B009,A0000293,110.48,GBP,128.83,CAD,ACH,0
2025/01/06 05:12,B004,A0000186,B007,A0000208,132.31,EUR,132.31,EUR,Wire,0
2025/01/06 21:51,B000,A0000271,B019,A0000107,147.1,EUR,147.1,EUR,ACH,0
2025/01/07 00:25,B019,A0000098,B011,A0000093,8875.26,CAD,8875.26,CAD,ACH,1
2025/01/07 05:39,B008,A0000291,B019,A0000098,342.93,USD,342.93,USD,ACH,0
2025/01/07 09:44,B004,A0000305,B016,A0000125,322.78,USD,322.78,USD,ACH,0
2025/01/07 15:32,B000,A0000368,B029,A0000207,35.03,EUR,35.03,EUR,Cash,0
2025/01/08 08:03,B023,A0000319,B013,A0000334,391.16,USD,391.16,USD,ACH,0
2025/01/08 23:41,B029,A0000207,B008,A0000153,1733.6,USD,1733.6,USD,Wire,0
2025/01/09 16:42,B010,A0000196,B003,A0000197,219.02,USD,219.02,USD,Wire,0
2025/01/10 16:54,B026,A0000094,B015,A0000016,125.08,USD,125.08,USD,Wire,0
2025/01/11 03:02,B018,A0000239,B013,A0000046,155.06,JPY,155.06,JPY,Wire,0
2025/01/11 03:20,B001,A0000055,B005,A0000022,356.66,EUR,356.66,EUR,ACH,0
2025/01/11 19:30,B012,A0000372,B016,A0000028,27.01,USD,27.01,USD,Reinvestment,0
2025/01/12 04:45,B001,A0000327,B022,A0000206,9330.88,USD,9330.88,USD,Cash,1
2025/01/12 09:44,B019,A0000098,B002,A0000009,7936.84,USD,7936.84,USD,ACH,1
2025/01/12 09:52,B007,A0000314,B004,A0000328,1383.83,EUR,1383.83,EUR,Wire,0
2025/01/12 21:26,B013,A0000046,B005,A0000022,149.67,CHF,149.67,CHF,ACH,0
2025/01/13 04:48,B016,A0000288,B006,A0000031,1135.33,CHF,1135.33,CHF,Cash,0
2025/01/13 15:12,B001,A0000035,B016,A0000112,53.83,USD,53.83,USD,ACH,0
2025/01/13 16:59,B002,A0000195,B024,A0000226,345.84,USD,345.84,USD,ACH,0
2025/01/13 19:25,B027,A0000263,B016,A0000133,257.58,USD,257.58,USD,ACH,0
2025/01/14 02:20,B008,A0000291,B002,A0000195,69.69,EUR,69.69,EUR,Credit Card,0
